id,type,grid81,blank_r,blank_c,answer
BOX1,box-only,123000000457000000890000000000000000000000000000000000000000000000000000000000000,3,3,6
BOX2,box-only,000000000000000000000000000000234000056780000000000000000000000000000000000000000,5,5,1
BOX3,box-only,000000000000000000000000000000000000000000000000000000000000000000123456780,9,9,9
ROW1,row-only,123056789000000000000000000000000000000000000000000000000000000000000000000000000,1,4,4
ROW2,row-only,000000000000000000000000000000000000000000986543210000000000000000000000000000000,5,9,7
ROW3,row-only,000000000000000000000000000000000000000000000000000000000000000000000000234506789,9,5,1
COL1,col-only,100000000200000000300000000400000000000000000600000000700000000800000000900000000,5,1,5
COL2,col-only,000090000000070000000060000000050000000040000000030000000020000000010000000000000,9,5,8
COL3,col-only,000000001000000002000000003000000004000000005000000000000000007000000008000000009,6,9,6
BOX4,box-only,000000134000000567000000890000000000000000000000000000000000000000000000000000000,1,9,2
MIX1,row+col,123006789000040000000000000000000000000000000000000000000000000000000000000000000,1,5,5
MIX2,row+col,123006789000040000000000000000000000000000000000000000000000000000000000000000000,1,4,4
